,Food Name,Protein,Fat,Carbs,Sugar,Calories,cluster
126,Cocoa powder,16.1,14.4,24.4,0.8,285.5,yellow
127,"Beverage base, banana flavour (Nesquik brand)",0.0,0.0,99.5,9.5,373.125,yellow
128,"Beverage base, chocolate flavour, unfortified (Nesquik brand)",4.7,3.4,88.3,82.3,380.525,yellow
129,"Beverage base, chocolate flavour, added vitamins A & B3 & Fe",9.3,2.9,81.2,46.1,367.8,yellow
130,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C, D & folate, Ca & Fe (Milo)",12.7,10.4,61.2,47.3,373.9,yellow
131,"Beverage base, chocolate flavour, added vitamins A, B1, B2, B3, C, D & folate & Ca (Aktavite)",4.4,1.9,79.3,62.9,332.075,yellow
132,"Beverage base, drinking chocolate, unfortified",5.6,4.8,76.3,74.3,351.725,yellow
133,"Beverage base, malted milk powder, unfortified",11.7,7.2,74.5,45.7,390.975,yellow
134,"Beverage base, malted milk powder, added vitamins A, B1, B2, B3, B6, B12, biotin, C, D E & folate, Ca & Zn",9.4,0.3,77.7,3.7,331.675,yellow
135,"Beverage base, malt chocolate flavour, added vitamins A, B1, B2, C, D & folate, Ca & Fe (Milo malt)",12.7,9.6,66.7,47.3,387.325,yellow
136,"Beverage base, strawberry flavour, unfortified (Nesquik brand)",0.0,0.0,99.6,99.2,373.5,yellow
137,"Beverage base, strawberry flavour, from drinking straw, containing added sugar & intense sweetener, unfortified",0.2,0.0,94.7,50.4,355.925,yellow
138,"Beverage, chocolate flavour, from cocoa powder, with cows milk",3.7,2.4,7.8,7.4,65.65,green
139,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",3.5,3.5,10.8,10.7,86.0,green
140,"Beverage, chocolate flavour, from drinking chocolate, with reduced fat cows milk",3.9,1.6,10.1,9.9,67.875,green
141,"Beverage, chocolate flavour, from drinking chocolate, with skim cows milk",3.7,0.4,9.7,9.6,54.775000000000006,green
142,"Beverage, chocolate flavour, from drinking chocolate, with soy milk",3.4,2.1,9.8,7.3,69.25,green
143,"Beverage, chocolate flavour, from drinking chocolate, with water",0.4,0.3,5.3,5.2,24.175,green
144,"Beverage, chocolate flavour, from original Milo powder, with cows milk",4.3,0.3,10.5,9.2,59.275,green
145,"Beverage, chocolate flavour, from original Milo powder, with soy milk",4.1,2.7,9.9,6.3,77.825,green
146,"Beverage, chocolate flavour, from Ovaltine powder, with cows milk",3.8,2.3,9.7,7.7,72.275,green
147,"Chai latte, dry powder mix containing milk solids & sugar",10.2,6.6,75.7,58.9,384.075,yellow
148,"Chai latte, prepared from chai mix powder & water, no added milk",0.9,0.6,6.6,5.2,33.75,green
149,"Chai latte, prepared from chai mix powder & regular fat cows milk",0.4,3.8,12.2,10.7,81.55,green
150,"Chai latte, prepared from chai mix powder & reduced fat cows milk",4.4,1.8,11.5,1.0,76.925,green
151,"Chai latte, prepared from chai mix powder & skim cows milk",4.2,0.7,11.1,9.6,64.725,green
152,"Chai latte, prepared from chai mix powder & soy milk",3.9,2.4,11.2,7.4,79.19999999999999,green
153,"Coffee, instant, dry powder or granules",16.1,0.6,11.2,1.2,111.80000000000001,green
154,"Coffee, black, from instant coffee powder, without milk",0.1,0.0,0.1,0.0,0.775,green
155,"Coffee, white, from instant coffee powder, made up with regular fat cows milk",3.2,3.1,5.5,5.4,61.325,green
156,"Coffee, white, from instant coffee powder, made up with cows milk not further defined",3.3,2.1,5.1,0.5,51.225,green
157,"Coffee, instant, dry powder or granules, decaffeinated",16.1,0.2,10.5,0.1,105.575,green
158,"Coffee, black, from instant coffee powder, decaffeinated, without milk",0.1,0.0,0.1,0.0,0.775,green
159,"Coffee, white, from instant coffee powder, decaffeinated, made up with cows milk not further defined",3.3,2.1,5.1,0.5,51.225,green
160,"Coffee, espresso style, without milk",0.1,0.2,0.0,0.0,2.2,green
161,"Coffee, espresso style, decaffeinated, without milk",0.1,0.2,0.0,0.0,2.2,green
162,"Coffee, from ground coffee beans, with regular fat coffee whitener",0.2,0.8,1.4,1.4,13.25,green
163,"Coffee, from instant or ground beans, Turkish, no milk, added sugar",0.1,0.2,0.6,0.6,4.45,green
164,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",2.6,2.6,4.8,4.8,51.800000000000004,green
165,"Coffee, cappuccino, from ground coffee beans, double shot, with regular fat cows milk",1.8,1.9,3.4,3.4,37.05,green
166,"Coffee, cappuccino, from ground coffee beans, with reduced fat cows milk",2.9,1.1,4.3,4.2,37.625,green
167,"Coffee, cappuccino, from ground coffee beans, double shot, with reduced fat cows milk",0.2,0.8,0.3,0.3,9.125,green
168,"Coffee, cappuccino, from ground coffee beans, with skim cows milk",2.7,0.2,0.4,0.4,14.100000000000001,green
169,"Coffee, cappuccino, from ground coffee beans, double shot, with skim cows milk",1.9,0.2,2.8,2.8,19.9,green
170,"Coffee, cappuccino, from ground coffee beans, with cows milk not further defined",2.7,1.8,4.5,4.5,43.875,green
171,"Coffee, cappuccino, from ground coffee beans, with regular fat soy milk",2.9,2.1,3.9,2.4,45.125,green
172,"Coffee, cappuccino, from ground coffee beans, with reduced fat soy milk",1.9,0.8,3.8,1.8,29.05,green
173,"Coffee, cappuccino, from ground coffee beans, with rice milk",0.3,0.8,1.0,3.2,12.15,green
174,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",2.7,2.8,4.8,4.8,54.0,green
175,"Coffee, flat white or latte, from ground coffee beans, double shot, with regular fat cows milk",2.1,2.2,3.6,3.6,41.7,green
176,"Coffee, flat white or latte, from ground coffee beans, with reduced fat cows milk",0.3,1.1,4.2,4.2,26.85,green
177,"Coffee, flat white or latte, from ground coffee beans, double shot, with reduced fat cows milk",2.3,0.9,3.2,3.2,29.299999999999997,green
178,"Coffee, flat white or latte, from ground coffee beans, with skim cows milk",2.9,0.1,3.9,3.9,27.125,green
179,"Coffee, flat white or latte, from ground coffee beans, double shot, with skim cows milk",2.2,0.1,2.9,2.9,20.575000000000003,green
180,"Coffee, flat white or latte, from ground coffee beans, with cows milk not further defined",2.8,1.8,4.4,4.4,43.9,green
181,"Coffee, flat white or latte, from ground coffee beans, with regular fat soy milk",3.1,2.2,3.8,2.2,46.45,green
182,"Coffee, flat white or latte, from ground coffee beans, with reduced fat soy milk",0.2,0.8,3.7,1.5,21.875,green
183,"Coffee, cappuccino, flat white or latte, from ground coffee beans, double shot, with cows milk not further defined",1.9,1.3,3.2,3.2,31.3,green
184,"Coffee, cappuccino, flat white or latte, from ground coffee beans, double shot, with soy milk not further defined",0.2,1.2,0.3,1.4,12.725,green
185,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with regular fat cows milk",0.3,3.1,5.6,5.6,50.1,green
186,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with reduced fat cows milk",3.3,1.2,4.6,4.6,41.25,green
187,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with skim cows milk",3.2,0.1,4.3,4.3,29.825000000000003,green
188,"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with soy milk not further defined",3.4,2.5,4.5,2.8,52.975,green
189,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with regular fat cows milk",2.7,2.8,4.8,4.8,54.0,green
190,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with reduced fat cows milk",0.3,1.1,4.2,4.2,26.85,green
191,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with skim cows milk",2.7,0.1,0.4,0.4,13.200000000000001,green
192,"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with soy milk not further defined",2.6,1.5,3.9,1.9,38.525,green
193,"Coffee, macchiato, from ground coffee beans, with regular fat cows milk",0.7,0.7,0.1,0.1,9.475,green
194,"Coffee, macchiato, from ground coffee beans, with reduced fat cows milk",0.7,0.4,0.9,0.9,9.775,green
195,"Coffee, macchiato, from ground coffee beans, with skim cows milk",0.7,0.2,0.8,0.8,7.6,green
196,"Coffee, macchiato, from ground coffee beans, with cows milk not further defined",0.7,0.5,0.9,0.9,10.675,green
197,"Coffee, macchiato, from ground coffee beans, with soy milk not further defined",0.6,0.5,0.8,0.4,9.9,green
198,"Coffee, macchiato, from ground coffee beans, decaffeinated, with regular fat cows milk",0.6,0.6,1.1,1.1,11.924999999999999,green
199,"Coffee, macchiato, from ground coffee beans, decaffeinated, with reduced fat cows milk",0.7,0.2,0.9,0.9,7.975,green
200,"Coffee, mocha, from ground coffee beans, with regular fat cows milk",2.9,2.9,8.7,8.6,70.32499999999999,green
201,"Coffee, mocha, from ground coffee beans, with reduced fat cows milk",3.2,1.3,8.1,0.8,54.875,green
202,"Coffee, mocha, from ground coffee beans, with skim cows milk",0.3,0.4,7.9,7.7,34.425,green
203,"Coffee, mocha, from ground coffee beans, with cows milk not further defined",0.3,0.2,8.4,8.3,34.5,green
204,"Coffee, mocha, from ground coffee beans, double shot, with cows milk not further defined",2.4,1.6,7.4,7.3,51.75,green
205,"Coffee, mocha, from ground coffee beans, with soy milk not further defined",2.8,1.8,7.9,5.9,57.025,green
206,"Coffee, mocha, from ground coffee beans, decaffeinated, with regular fat cows milk",2.9,2.9,8.8,8.6,70.69999999999999,green
207,"Coffee, mocha, from ground coffee beans, decaffeinated, with reduced fat cows milk",3.2,1.3,8.1,0.8,54.875,green
208,"Coffee, long black style, from ground coffee beans, without milk",0.1,0.0,0.1,0.1,0.775,green
209,"Coffee, long black style, from ground coffee beans, double shot, without milk",0.0,0.1,0.0,0.0,0.9,green
210,"Coffee, long black style, from ground coffee beans, half shot, without milk",0.0,0.0,0.0,0.0,0.0,green
211,"Coffee, long black style, from ground beans, decaffeinated, without milk",0.1,0.0,0.1,0.1,0.775,green
212,"Coffee substitute, cereal beverage, dry powder or granules",4.3,1.1,8.0,7.7,57.1,green
213,"Coffee, prepared from coffee substitute powder & water, no added milk",0.1,0.0,2.4,0.2,9.4,green
214,"Coffee & chicory essence, concentrate",1.6,0.2,53.5,51.5,208.825,green
215,"Coffee mix, with beverage whitener & sugar, dry powder",8.4,29.2,4.1,38.3,311.77500000000003,yellow
216,"Coffee, prepared from coffee mix with sugar & whitener, no added milk",0.4,1.5,0.2,1.9,15.85,green
217,"Coffee mix, with beverage whitener & intense sweetener, dry powder",22.4,24.7,38.9,33.5,457.775,yellow
218,"Coffee, prepared from coffee mix with intense sweetener & whitener, no added milk",1.8,0.2,3.2,2.7,21.0,green
219,"Coffee mix, with beverage whitener & sugar, decaffeinated, dry powder",8.4,29.2,4.1,38.3,311.77500000000003,yellow
220,"Coffee, prepared from decaffeinated coffee mix with sugar & whitener, no added milk",0.4,1.5,0.2,1.9,15.85,green
221,"Coffee, prepared from coffee mix, not further defined, no added milk",0.8,1.6,2.4,2.2,26.6,green
222,Coffee & milk concentrate,8.6,6.9,50.7,49.6,286.625,yellow
223,"Coffee, prepared from coffee & milk concentrate, no added milk",0.9,0.7,5.1,0.5,29.025,green
224,"Coffee whitener, dry powder",4.8,35.5,54.9,54.9,544.575,yellow
225,"Coffee, not further defined",0.7,0.4,1.1,0.1,10.525,green
226,"Cordial base, 25% citrus fruit juice (orange & lemon), regular",0.0,0.0,37.3,37.3,139.875,green
227,"Cordial base, 40% citrus fruit juice (orange, lemon or lime), regular",0.2,0.0,40.2,40.2,151.55,green
228,"Cordial base, 25% non-citrus fruit juice (apple & berry), regular",0.0,0.0,37.3,37.3,139.875,green
229,"Cordial base, 40% non-citrus fruit juice (apple & berry), regular",0.1,0.0,37.3,37.3,140.275,green
230,"Cordial base, apple & berry, regular",0.1,0.0,37.3,37.3,140.275,green
231,"Cordial base, blackcurrant juice, regular",0.1,0.0,5.7,5.7,21.775,green
232,"Cordial base, fruit cup or tropical, regular",0.0,0.0,37.3,37.3,139.875,green
233,"Cordial base, ginger, regular",0.2,0.1,53.2,52.4,201.2,green
234,"Cordial base, grenadine syrup",0.0,0.0,46.2,46.2,173.25,green
235,"Cordial base, lemon, regular",0.2,0.0,39.6,39.6,149.3,green
236,"Cordial base, lime or green, regular",0.1,0.0,40.9,40.9,153.775,green
237,"Cordial base, orange or orange & mango, regular",0.2,0.0,39.6,39.6,149.3,green
238,"Cordial base, 25% citrus fruit juice (orange or lemon), intense sweetened or diet",0.0,0.0,1.2,1.2,4.5,green
239,"Cordial base, apple & berry, intense sweetened or diet",0.0,0.0,1.2,1.2,4.5,green
240,"Cordial base, blackcurrant juice, intense sweetened or diet",0.1,0.0,1.1,1.1,4.525,green
241,"Cordial base, fruit cup or tropical, intense sweetened or diet",0.0,0.0,1.2,1.2,4.5,green
242,"Cordial base, lemon, intense sweetened or diet",0.0,0.0,1.2,1.2,4.5,green
243,"Cordial base, lime or green, intense sweetened or diet",0.1,0.0,1.2,1.2,4.9,green
244,"Cordial base, orange or orange & mango, intense sweetened or diet",0.0,0.0,1.2,1.2,4.5,green
245,"Cordial, 25% citrus fruit juice, regular, recommended dilution",0.0,0.0,8.7,8.7,32.625,green
246,"Cordial, 40% citrus fruit juice, regular, recommended dilution",0.0,0.0,9.4,9.4,35.25,green
247,"Cordial, 25% non-citrus fruit juice, regular, recommended dilution",0.0,0.0,8.7,8.7,32.625,green
248,"Cordial, 40% non-citrus fruit juice, regular, recommended dilution",0.0,0.0,8.7,8.7,32.625,green
249,"Cordial, apple & berry, regular, stronger than recommended dilution",0.0,0.0,10.7,10.7,40.125,green
250,"Cordial, apple & berry, regular, recommended dilution",0.0,0.0,8.7,8.7,32.625,green
251,"Cordial, apple & berry, regular, weaker than recommended dilution",0.0,0.0,6.4,6.4,24.0,green
252,"Cordial, blackcurrant juice, regular, stronger than recommended dilution",0.0,0.0,14.1,14.1,52.875,green
253,"Cordial, blackcurrant juice, regular, recommended dilution",0.0,0.0,11.8,11.8,44.25,green
254,"Cordial, blackcurrant juice, regular, weaker than recommended dilution",0.0,0.0,0.9,0.9,3.375,green
255,"Cordial, fruit cup or tropical, regular, stronger than recommended dilution",0.0,0.0,10.7,10.7,40.125,green
256,"Cordial, fruit cup or tropical, regular, recommended dilution",0.0,0.0,8.7,8.7,32.625,green
257,"Cordial, fruit cup or tropical, regular, weaker than recommended dilution",0.0,0.0,6.4,6.4,24.0,green
258,"Cordial, ginger, regular, recommended dilution",0.0,0.0,12.4,12.3,46.5,green
259,"Cordial, lemon, regular, recommended dilution",0.0,0.0,9.3,9.3,34.875,green
260,"Cordial, lemon, regular, weaker than recommended dilution",0.0,0.0,6.8,6.8,25.5,green
261,"Cordial, lime or green, regular, stronger than recommended dilution",0.0,0.0,11.8,11.8,44.25,green
262,"Cordial, lime or green, regular, recommended dilution",0.0,0.0,9.6,9.6,36.0,green
263,"Cordial, lime or green, regular, weaker than recommended dilution",0.0,0.0,0.7,0.7,2.625,green
264,"Cordial, orange or orange & mango, regular, stronger than recommended dilution",0.0,0.0,11.4,11.4,42.75,green
265,"Cordial, orange or orange & mango, regular, recommended dilution",0.0,0.0,9.3,9.3,34.875,green
266,"Cordial, orange or orange & mango, regular, weaker than recommended dilution",0.0,0.0,6.8,6.8,25.5,green
267,"Cordial, apple & berry, intense sweetened or diet, recommended dilution",0.0,0.0,0.2,0.2,0.75,green
268,"Cordial, blackcurrant juice, intense sweetened or diet, recommended dilution",0.0,0.0,1.9,1.9,7.125,green
269,"Cordial, 25% citrus fruit juice, intense sweetened or diet, recommended dilution",0.0,0.0,0.2,0.2,0.75,green
270,"Cordial, fruit cup or tropical, intense sweetened, recommended dilution",0.0,0.0,0.2,0.2,0.75,green
271,"Cordial, lemon, intense sweetened or diet, recommended dilution",0.0,0.0,0.2,0.2,0.75,green
272,"Cordial, lime or green, intense sweetened or diet, recommended dilution",0.0,0.0,0.2,0.2,0.75,green
273,"Cordial, orange or orange & mango, intense sweetened or diet, recommended dilution",0.0,0.0,0.2,0.2,0.75,green
274,"Fruit drink, from dry base, regular, recommended dilution",0.0,0.0,8.9,8.9,33.375,green
275,"Fruit drink, aloe vera, commercial",0.0,0.1,10.5,9.5,40.275,green
276,"Fruit drink, apple juice, commercial",0.1,0.0,10.9,10.9,41.275,green
277,"Fruit drink, 25% apple juice, commercial",0.0,0.0,9.8,9.8,36.75,green
278,"Fruit drink, 35% apple juice, commercial, added vitamin C",0.1,0.0,11.9,11.9,45.025,green
279,"Fruit drink, apple & blackcurrant, commercial",0.0,0.0,9.2,9.2,34.5,green
280,"Fruit drink, apple & mango, commercial",0.2,0.0,1.1,10.9,4.925,green
281,"Fruit drink, apricot juice, commercial",0.3,0.0,12.9,12.9,49.575,green
282,"Fruit drink, blackcurrant, commercial",0.1,0.4,9.7,9.7,40.375,green
283,"Fruit drink, cranberry, commercial",0.1,0.1,12.1,12.1,46.675,green
284,"Fruit drink, cranberry & blackcurrant, commercial",0.0,0.1,12.1,12.1,46.275,green
285,"Fruit drink, guava, commercial",0.2,0.2,1.1,1.1,6.725,green
286,"Fruit drink, lemon or lime juice, commercial",0.2,0.1,10.6,10.6,41.45,green
287,"Fruit drink, mango, commercial",0.4,0.1,11.2,10.9,44.5,green
288,"Fruit drink, 25% orange juice, commercial",0.2,0.0,10.4,10.4,39.8,green
289,"Fruit drink, 25% orange juice, commercial, added vitamin C",0.2,0.0,10.4,10.4,39.8,green
290,"Fruit drink, 35% orange juice, commercial, added vitamin C",0.2,0.0,10.4,10.4,39.8,green
291,"Fruit drink, orange juice, commercial",0.2,0.0,10.4,10.4,39.8,green
292,"Fruit drink, orange & mango juices, commercial",0.3,0.0,11.1,11.1,42.825,green
293,"Fruit drink, pineapple juice, commercial",0.1,0.0,11.6,11.6,43.9,green
294,"Fruit drink, tropical style, commercial",0.0,0.0,0.9,0.9,3.375,green
295,"Juice, infant, apple or pear, commercial",0.1,0.0,3.8,3.8,14.65,green
